Element_Name,Fact_ID,Value,Unit,Is_Null,Context_Ref,Entity_ID,Period_Start,Period_End,Instant_Date,Taxonomy_Prefix,Element_Local_Name,Combined_Element_Name,Date_Part,Data_Type,Trend
AccountsReceivableNet,Fact000044,2317000.0,USD,false,AsOf2025-06-30_us-gaap_NonrelatedPartyMember,0000923601,,,2025-06-30,us-gaap,AccountsReceivableNet,us-gaap:AccountsReceivableNet_2025-06-30,2025-06-30,xbrl,-4988920.0
AccruedLiabilitiesCurrent,Fact000099,3295000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,AccruedLiabilitiesCurrent,us-gaap:AccruedLiabilitiesCurrent_2025-06-30,2025-06-30,xbrl,681000.0
AccruedLiabilitiesCurrentAndNoncurrent,Fact001001,509119.0,USD,false,AsOf2025-06-30_custom_BlueYonderIncMember,0000923601,,,2025-06-30,us-gaap,AccruedLiabilitiesCurrentAndNoncurrent,us-gaap:AccruedLiabilitiesCurrentAndNoncurrent_2025-06-30,2025-06-30,xbrl,184119.0
AllowanceForDoubtfulAccountsReceivableCurrent,Fact000047,101000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap:AllowanceForDoubtfulAccountsReceivableCurrent_2025-06-30,2025-06-30,xbrl,-38182.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Fact002722,569.0,Shares,false,From2023-04-012023-12-31_us-gaap_EmployeeStockOptionMember_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap:AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount_2023-12-31,2023-12-31,xbrl,85.0
Assets,Fact000087,12695000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,Assets,us-gaap:Assets_2025-06-30,2025-06-30,xbrl,-15020000.0
AssetsCurrent,Fact000069,7620000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,AssetsCurrent,us-gaap:AssetsCurrent_2025-06-30,2025-06-30,xbrl,-15586000.0
BusinessAcquisitionsProFormaNetIncomeLoss,Fact001700,8735000.0,USD,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,BusinessAcquisitionsProFormaNetIncomeLoss,us-gaap:BusinessAcquisitionsProFormaNetIncomeLoss_2024-06-30,2024-06-30,xbrl,-2578000.0
BusinessAcquisitionsProFormaRevenue,Fact001694,6135000.0,USD,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,BusinessAcquisitionsProFormaRevenue,us-gaap:BusinessAcquisitionsProFormaRevenue_2024-06-30,2024-06-30,xbrl,-1303000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,Fact001673,593000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents_2025-05-02,2025-05-02,xbrl,576000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,Fact001677,377000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets_2025-05-02,2025-05-02,xbrl,364000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,Fact001675,319000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables_2025-05-02,2025-05-02,xbrl,126000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,Fact001683,372000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable_2025-05-02,2025-05-02,xbrl,-2307000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther,Fact001685,975000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther_2025-05-02,2025-05-02,xbrl,0.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,Fact001687,442000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet_2025-05-02,2025-05-02,xbrl,-2953000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,Fact001669,2008000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt_2025-05-02,2025-05-02,xbrl,0.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,Fact001681,489000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets_2025-05-02,2025-05-02,xbrl,475000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,Fact001679,11000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment_2025-05-02,2025-05-02,xbrl,8000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,Fact001689,3632000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet_2025-05-02,2025-05-02,xbrl,0.0
Cash,Fact000041,1134000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,Cash,us-gaap:Cash_2025-06-30,2025-06-30,xbrl,-5569000.0
CashAcquiredFromAcquisition,Fact000691,593000.0,USD,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,CashAcquiredFromAcquisition,us-gaap:CashAcquiredFromAcquisition_2025-06-30,2025-06-30,xbrl,0.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,Fact000733,1134000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations_2025-06-30,2025-06-30,xbrl,-1761000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,Fact002212,3808000.0,USD,false,From2023-04-012023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_2023-12-31,2023-12-31,xbrl,-2608000.0
CommonStockSharesOutstanding,Fact000185,2514571.0,Shares,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,CommonStockSharesOutstanding,us-gaap:CommonStockSharesOutstanding_2025-06-30,2025-06-30,xbrl,2482481.0
CostOfGoodsAndServicesSold,Fact001885,23008000.0,USD,false,From2023-04-012023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,CostOfGoodsAndServicesSold,us-gaap:CostOfGoodsAndServicesSold_2023-12-31,2023-12-31,xbrl,21246000.0
CostOfRevenue,Fact003110,23008000.0,USD,false,From2023-04-012023-12-31_us-gaap_OperatingSegmentsMember_custom_SingingMachineMember_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,CostOfRevenue,us-gaap:CostOfRevenue_2023-12-31,2023-12-31,xbrl,22738000.0
DeferredIncomeTaxExpenseBenefit,Fact002085,30000.0,USD,false,From2024-01-012024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2024-01-01,2024-12-31,,us-gaap,DeferredIncomeTaxExpenseBenefit,us-gaap:DeferredIncomeTaxExpenseBenefit_2024-12-31,2024-12-31,xbrl,0.0
DeferredTaxAssetsGoodwillAndIntangibleAssets,Fact003001,674000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31,us-gaap,DeferredTaxAssetsGoodwillAndIntangibleAssets,us-gaap:DeferredTaxAssetsGoodwillAndIntangibleAssets_2024-12-31,2024-12-31,xbrl,0.0
DeferredTaxAssetsGross,Fact003025,8216000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31,us-gaap,DeferredTaxAssetsGross,us-gaap:DeferredTaxAssetsGross_2024-12-31,2024-12-31,xbrl,3514000.0
DeferredTaxAssetsInventory,Fact002998,355000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31,us-gaap,DeferredTaxAssetsInventory,us-gaap:DeferredTaxAssetsInventory_2024-12-31,2024-12-31,xbrl,-818000.0
DeferredTaxAssetsNet,Fact003031,176000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31,us-gaap,DeferredTaxAssetsNet,us-gaap:DeferredTaxAssetsNet_2024-12-31,2024-12-31,xbrl,-927000.0
