Fact_ID,Element_Name,Value,Unit,Is_Null,Context_Ref,Entity_ID,Period_Start,Period_End,Instant_Date,Taxonomy_Prefix,Element_Local_Name,Combined_Element_Name,Date_Part,Data_Type,Trend
Fact003250,AccountsReceivableNet,7305920.0,USD,false,AsOf2022-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2022-12-31,us-gaap,AccountsReceivableNet,us-gaap:AccountsReceivableNet_2022-12-31,2022-12-31,xbrl,-4988920.0
Fact003248,AllowanceForDoubtfulAccountsReceivableCurrent,139182.0,USD,false,AsOf2022-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2022-12-31,us-gaap,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap:AllowanceForDoubtfulAccountsReceivableCurrent_2022-12-31,2022-12-31,xbrl,-38182.0
Fact002215,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,2895000.0,USD,false,AsOf2023-03-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-03-31,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations_2023-03-31,2023-03-31,xbrl,-1761000.0
Fact001958,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,29848000.0,USD,false,AsOf2023-03-31_us-gaap_AdditionalPaidInCapitalMember_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-03-31,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_2023-03-31,2023-03-31,xbrl,-27038000.0
Fact001963,SharesOutstanding,15837.0,Shares,false,AsOf2023-03-31_us-gaap_CommonStockMember_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-03-31,us-gaap,SharesOutstanding,us-gaap:SharesOutstanding_2023-03-31,2023-03-31,xbrl,2498734.0
Fact001745,InventoryNet,6871000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,InventoryNet,us-gaap:InventoryNet_2023-12-31,2023-12-31,xbrl,-4138000.0
Fact003029,DeferredTaxAssetsValuationAllowance,3600000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,DeferredTaxAssetsValuationAllowance,us-gaap:DeferredTaxAssetsValuationAllowance_2023-12-31,2023-12-31,xbrl,4439000.0
Fact003005,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,159000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost_2023-12-31,2023-12-31,xbrl,20000.0
Fact001730,AllowanceForDoubtfulAccountsReceivableCurrent,174000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap:AllowanceForDoubtfulAccountsReceivableCurrent_2023-12-31,2023-12-31,xbrl,-38182.0
Fact001723,Cash,6703000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,Cash,us-gaap:Cash_2023-12-31,2023-12-31,xbrl,-5569000.0
