Fact_ID,Element_Name,Value,Unit,Is_Null,Context_Ref,Entity_ID,Period_Start,Period_End,Instant_Date,Taxonomy_Prefix,Element_Local_Name,Combined_Element_Name,Date_Part,Data_Type
Fact000041,Cash,1134000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,Cash,us-gaap:Cash_2025-06-30,2025-06-30,xbrl
Fact000042,Cash,7550000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,Cash,us-gaap:Cash_2024-12-31,2024-12-31,xbrl
Fact000047,AllowanceForDoubtfulAccountsReceivableCurrent,101000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap:AllowanceForDoubtfulAccountsReceivableCurrent_2025-06-30,2025-06-30,xbrl
Fact000049,AllowanceForDoubtfulAccountsReceivableCurrent,274000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap:AllowanceForDoubtfulAccountsReceivableCurrent_2024-12-31,2024-12-31,xbrl
Fact000044,AccountsReceivableNet,2317000.0,USD,false,AsOf2025-06-30_us-gaap_NonrelatedPartyMember,0000923601,,,2025-06-30,us-gaap,AccountsReceivableNet,us-gaap:AccountsReceivableNet_2025-06-30,2025-06-30,xbrl
Fact000045,AccountsReceivableNet,4373000.0,USD,false,AsOf2024-12-31_us-gaap_NonrelatedPartyMember,0000923601,,,2024-12-31,us-gaap,AccountsReceivableNet,us-gaap:AccountsReceivableNet_2024-12-31,2024-12-31,xbrl
Fact000060,InventoryNet,2733000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,InventoryNet,us-gaap:InventoryNet_2025-06-30,2025-06-30,xbrl
Fact000061,InventoryNet,2186000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,InventoryNet,us-gaap:InventoryNet_2024-12-31,2024-12-31,xbrl
Fact000063,OtherAssetsCurrent,93000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,OtherAssetsCurrent,us-gaap:OtherAssetsCurrent_2025-06-30,2025-06-30,xbrl
Fact000064,OtherAssetsCurrent,1621000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,OtherAssetsCurrent,us-gaap:OtherAssetsCurrent_2024-12-31,2024-12-31,xbrl
Fact000066,PrepaidExpenseAndOtherAssetsCurrent,1219000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,PrepaidExpenseAndOtherAssetsCurrent,us-gaap:PrepaidExpenseAndOtherAssetsCurrent_2025-06-30,2025-06-30,xbrl
Fact000067,PrepaidExpenseAndOtherAssetsCurrent,120000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,PrepaidExpenseAndOtherAssetsCurrent,us-gaap:PrepaidExpenseAndOtherAssetsCurrent_2024-12-31,2024-12-31,xbrl
Fact000069,AssetsCurrent,7620000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,AssetsCurrent,us-gaap:AssetsCurrent_2025-06-30,2025-06-30,xbrl
Fact000070,AssetsCurrent,16763000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,AssetsCurrent,us-gaap:AssetsCurrent_2024-12-31,2024-12-31,xbrl
Fact000078,OtherAssetsNoncurrent,90000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,OtherAssetsNoncurrent,us-gaap:OtherAssetsNoncurrent_2025-06-30,2025-06-30,xbrl
Fact000079,OtherAssetsNoncurrent,124000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,OtherAssetsNoncurrent,us-gaap:OtherAssetsNoncurrent_2024-12-31,2024-12-31,xbrl
Fact000081,IntangibleAssetsNetExcludingGoodwill,315000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,IntangibleAssetsNetExcludingGoodwill,us-gaap:IntangibleAssetsNetExcludingGoodwill_2025-06-30,2025-06-30,xbrl
Fact000082,IntangibleAssetsNetExcludingGoodwill,345000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,IntangibleAssetsNetExcludingGoodwill,us-gaap:IntangibleAssetsNetExcludingGoodwill_2024-12-31,2024-12-31,xbrl
Fact000087,Assets,12695000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,Assets,us-gaap:Assets_2025-06-30,2025-06-30,xbrl
Fact000088,Assets,18302000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,Assets,us-gaap:Assets_2024-12-31,2024-12-31,xbrl
Fact000099,AccruedLiabilitiesCurrent,3295000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,AccruedLiabilitiesCurrent,us-gaap:AccruedLiabilitiesCurrent_2025-06-30,2025-06-30,xbrl
Fact000100,AccruedLiabilitiesCurrent,4224000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,AccruedLiabilitiesCurrent,us-gaap:AccruedLiabilitiesCurrent_2024-12-31,2024-12-31,xbrl
Fact000112,DerivativeLiabilitiesCurrent,16603000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,DerivativeLiabilitiesCurrent,us-gaap:DerivativeLiabilitiesCurrent_2024-12-31,2024-12-31,xbrl
Fact000126,OtherLiabilitiesCurrent,62000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,OtherLiabilitiesCurrent,us-gaap:OtherLiabilitiesCurrent_2025-06-30,2025-06-30,xbrl
Fact000127,OtherLiabilitiesCurrent,145000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,OtherLiabilitiesCurrent,us-gaap:OtherLiabilitiesCurrent_2024-12-31,2024-12-31,xbrl
Fact000129,LiabilitiesCurrent,9250000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,LiabilitiesCurrent,us-gaap:LiabilitiesCurrent_2025-06-30,2025-06-30,xbrl
Fact000130,LiabilitiesCurrent,28438000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,LiabilitiesCurrent,us-gaap:LiabilitiesCurrent_2024-12-31,2024-12-31,xbrl
Fact000144,Liabilities,9885000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,Liabilities,us-gaap:Liabilities_2025-06-30,2025-06-30,xbrl
Fact000145,Liabilities,28823000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,Liabilities,us-gaap:Liabilities_2024-12-31,2024-12-31,xbrl
Fact000185,CommonStockSharesOutstanding,2514571.0,Shares,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,CommonStockSharesOutstanding,us-gaap:CommonStockSharesOutstanding_2025-06-30,2025-06-30,xbrl
Fact000189,CommonStockSharesOutstanding,470825.0,Shares,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,CommonStockSharesOutstanding,us-gaap:CommonStockSharesOutstanding_2024-12-31,2024-12-31,xbrl
Fact000194,RetainedEarningsAccumulatedDeficit,58948000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,RetainedEarningsAccumulatedDeficit,us-gaap:RetainedEarningsAccumulatedDeficit_2025-06-30,2025-06-30,xbrl
Fact000195,RetainedEarningsAccumulatedDeficit,49172000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,RetainedEarningsAccumulatedDeficit,us-gaap:RetainedEarningsAccumulatedDeficit_2024-12-31,2024-12-31,xbrl
Fact000207,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2810000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_2025-06-30,2025-06-30,xbrl
Fact000208,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,10521000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_2024-12-31,2024-12-31,xbrl
Fact000210,LiabilitiesAndStockholdersEquity,12695000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,LiabilitiesAndStockholdersEquity,us-gaap:LiabilitiesAndStockholdersEquity_2025-06-30,2025-06-30,xbrl
Fact000211,LiabilitiesAndStockholdersEquity,18302000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,LiabilitiesAndStockholdersEquity,us-gaap:LiabilitiesAndStockholdersEquity_2024-12-31,2024-12-31,xbrl
Fact000213,RevenueFromContractWithCustomerExcludingAssessedTax,2716000.0,USD,false,From2025-04-012025-06-30,0000923601,2025-04-01,2025-06-30,,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax_2025-06-30,2025-06-30,xbrl
Fact000214,RevenueFromContractWithCustomerExcludingAssessedTax,2440000.0,USD,false,From2024-04-012024-06-30,0000923601,2024-04-01,2024-06-30,,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax_2024-06-30,2024-06-30,xbrl
