Element_Name,Value,Unit,Trend,Instant_Date,Data_Type
AccountsReceivableNet,2317000.0,USD,-4988920.0,2025-06-30 00:00:00,xbrl
AccruedLiabilitiesCurrent,3295000.0,USD,681000.0,2025-06-30 00:00:00,xbrl
AccruedLiabilitiesCurrentAndNoncurrent,509119.0,USD,184119.0,2025-06-30 00:00:00,xbrl
AllowanceForDoubtfulAccountsReceivableCurrent,101000.0,USD,-38182.0,2025-06-30 00:00:00,xbrl
Assets,12695000.0,USD,-15020000.0,2025-06-30 00:00:00,xbrl
AssetsCurrent,7620000.0,USD,-15586000.0,2025-06-30 00:00:00,xbrl
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,593000.0,USD,576000.0,2025-05-02 00:00:00,xbrl
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,377000.0,USD,364000.0,2025-05-02 00:00:00,xbrl
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,319000.0,USD,126000.0,2025-05-02 00:00:00,xbrl
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,372000.0,USD,-2307000.0,2025-05-02 00:00:00,xbrl
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther,975000.0,USD,0.0,2025-05-02 00:00:00,xbrl
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,442000.0,USD,-2953000.0,2025-05-02 00:00:00,xbrl
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,2008000.0,USD,0.0,2025-05-02 00:00:00,xbrl
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,489000.0,USD,475000.0,2025-05-02 00:00:00,xbrl
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,11000.0,USD,8000.0,2025-05-02 00:00:00,xbrl
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,3632000.0,USD,0.0,2025-05-02 00:00:00,xbrl
Cash,1134000.0,USD,-5569000.0,2025-06-30 00:00:00,xbrl
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,1134000.0,USD,-1761000.0,2025-06-30 00:00:00,xbrl
CommonStockSharesOutstanding,2514571.0,Shares,2482481.0,2025-06-30 00:00:00,xbrl
DeferredTaxAssetsGoodwillAndIntangibleAssets,674000.0,USD,0.0,2024-12-31 00:00:00,xbrl
DeferredTaxAssetsGross,8216000.0,USD,3514000.0,2024-12-31 00:00:00,xbrl
DeferredTaxAssetsInventory,355000.0,USD,-818000.0,2024-12-31 00:00:00,xbrl
