Fact_ID,Element_Name,Value,Unit,Is_Null,Context_Ref,Entity_ID,Period_Start,Period_End,Instant_Date,Taxonomy_Prefix,Element_Local_Name
Fact000041,Cash,1134000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,Cash
Fact000042,Cash,7550000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,Cash
Fact000047,AllowanceForDoubtfulAccountsReceivableCurrent,101000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,AllowanceForDoubtfulAccountsReceivableCurrent
Fact000049,AllowanceForDoubtfulAccountsReceivableCurrent,274000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,AllowanceForDoubtfulAccountsReceivableCurrent
Fact000044,AccountsReceivableNet,2317000.0,USD,false,AsOf2025-06-30_us-gaap_NonrelatedPartyMember,0000923601,,,2025-06-30,us-gaap,AccountsReceivableNet
Fact000045,AccountsReceivableNet,4373000.0,USD,false,AsOf2024-12-31_us-gaap_NonrelatedPartyMember,0000923601,,,2024-12-31,us-gaap,AccountsReceivableNet
Fact000060,InventoryNet,2733000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,InventoryNet
Fact000061,InventoryNet,2186000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,InventoryNet
Fact000063,OtherAssetsCurrent,93000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,OtherAssetsCurrent
Fact000064,OtherAssetsCurrent,1621000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,OtherAssetsCurrent
Fact000066,PrepaidExpenseAndOtherAssetsCurrent,1219000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,PrepaidExpenseAndOtherAssetsCurrent
Fact000067,PrepaidExpenseAndOtherAssetsCurrent,120000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,PrepaidExpenseAndOtherAssetsCurrent
Fact000069,AssetsCurrent,7620000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,AssetsCurrent
Fact000070,AssetsCurrent,16763000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,AssetsCurrent
Fact000078,OtherAssetsNoncurrent,90000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,OtherAssetsNoncurrent
Fact000079,OtherAssetsNoncurrent,124000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,OtherAssetsNoncurrent
Fact000081,IntangibleAssetsNetExcludingGoodwill,315000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,IntangibleAssetsNetExcludingGoodwill
Fact000082,IntangibleAssetsNetExcludingGoodwill,345000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,IntangibleAssetsNetExcludingGoodwill
Fact000087,Assets,12695000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,Assets
Fact000088,Assets,18302000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,Assets
Fact000099,AccruedLiabilitiesCurrent,3295000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,AccruedLiabilitiesCurrent
Fact000100,AccruedLiabilitiesCurrent,4224000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,AccruedLiabilitiesCurrent
Fact000112,DerivativeLiabilitiesCurrent,16603000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,DerivativeLiabilitiesCurrent
Fact000126,OtherLiabilitiesCurrent,62000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,OtherLiabilitiesCurrent
Fact000127,OtherLiabilitiesCurrent,145000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,OtherLiabilitiesCurrent
Fact000129,LiabilitiesCurrent,9250000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,LiabilitiesCurrent
Fact000130,LiabilitiesCurrent,28438000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,LiabilitiesCurrent
Fact000144,Liabilities,9885000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,Liabilities
Fact000145,Liabilities,28823000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,Liabilities
Fact000185,CommonStockSharesOutstanding,2514571.0,Shares,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,CommonStockSharesOutstanding
Fact000189,CommonStockSharesOutstanding,470825.0,Shares,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,CommonStockSharesOutstanding
Fact000194,RetainedEarningsAccumulatedDeficit,58948000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,RetainedEarningsAccumulatedDeficit
Fact000195,RetainedEarningsAccumulatedDeficit,49172000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,RetainedEarningsAccumulatedDeficit
Fact000207,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2810000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
Fact000208,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,10521000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
Fact000210,LiabilitiesAndStockholdersEquity,12695000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,LiabilitiesAndStockholdersEquity
Fact000211,LiabilitiesAndStockholdersEquity,18302000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,LiabilitiesAndStockholdersEquity
Fact000213,RevenueFromContractWithCustomerExcludingAssessedTax,2716000.0,USD,false,From2025-04-012025-06-30,0000923601,2025-04-01,2025-06-30,,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax
Fact000214,RevenueFromContractWithCustomerExcludingAssessedTax,2440000.0,USD,false,From2024-04-012024-06-30,0000923601,2024-04-01,2024-06-30,,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax
Fact000215,RevenueFromContractWithCustomerExcludingAssessedTax,4709000.0,USD,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax
Fact000216,RevenueFromContractWithCustomerExcludingAssessedTax,4866000.0,USD,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax
Fact000218,CostOfGoodsAndServicesSold,1762000.0,USD,false,From2025-04-012025-06-30,0000923601,2025-04-01,2025-06-30,,us-gaap,CostOfGoodsAndServicesSold
Fact000219,CostOfGoodsAndServicesSold,2116000.0,USD,false,From2024-04-012024-06-30,0000923601,2024-04-01,2024-06-30,,us-gaap,CostOfGoodsAndServicesSold
