additional_paid_in_capital_trend,additional_paid_in_capital_recent,total_assets_trend,total_assets_recent,total_current_liabilities_trend,total_current_liabilities_recent,total_liabilities_trend,total_liabilities_recent,symbol,cash_trend,cash_recent,total_capitalization_trend,total_capitalization_recent,total_current_assets_trend,total_current_assets_recent
0.0,22499.0,0.0,523475.0,0.0,512320.0,0.0,512320.0,AAC,,,,,,
4977413.0,5001957.0,103376.0,135313.0,105361.0,112752.0,0.0,112752.0,AACI,60673.0,62610.0,0.0,151128977.0,,
4977413.0,5001957.0,103376.0,135313.0,105361.0,112752.0,0.0,112752.0,AACIW,60673.0,62610.0,0.0,151128977.0,,
137777.0,142245.0,37028.0,102776.0,3795.0,29372.0,6716.0,41456.0,AAOI,0.0,10723.0,0.0,77942.0,4130.0,43376.0
0.0,4999830.0,0.0,30000.0,0.0,6000.0,0.0,14000000.0,AAQC,,,0.0,401024000.0,,
0.0,563186.0,1562100.0,1562101.0,-118.0,2481.0,0.0,949834.0,AAT,6197.0,18419.0,0.0,1498639.0,823.0,5978.0
816738.0,2300178.0,120893163.0,142385338.0,13670821.0,20104202.0,43264317.0,53147289.0,ABCL,-1295.0,1105.0,0.0,630574.0,98837274.0,113999508.0
0.0,24623.0,0.0,302178.0,0.0,302000.0,0.0,302000.0,ABGI,0.0,58175.0,,,0.0,58353.0
8262246.0,8521712.0,3898380.0,10511469.0,2182040.0,5918050.0,4508360.0,8407255.0,ABNB,456547.0,2664390.0,0.0,5460946.0,1337676.0,7212208.0
0.0,8500.0,0.0,217673.0,,,0.0,31182.0,ABOS,0.0,216707.0,,,0.0,44429.0
484548.0,485183.0,369698.0,458267.0,25275.0,35370.0,151186.0,159959.0,ABSI,244620.0,314487.0,0.0,388638.0,112110.0,185344.0
,,-567739626.0,1945156.0,,,-517100981.0,1743326.0,ABTX,5567.0,17336.0,0.0,323862.0,,
0.0,24250.0,0.0,175634.0,,,0.0,151634.0,ACABW,,,0.0,267344000.0,,
0.0,24784.0,0.0,77270000.0,0.0,115000.0,0.0,2625000.0,ACAX,0.0,50000.0,0.0,77270000.0,,
0.0,24784.0,0.0,77270000.0,0.0,115000.0,0.0,2625000.0,ACAXU,0.0,50000.0,0.0,77270000.0,,
0.0,23850.0,0.0,41409194.0,0.0,35806.0,0.0,1600000.0,ACBAU,,,,,,
0.0,143938.0,0.0,136711.0,,,0.0,3495.0,ACET,0.0,136461.0,0.0,134595.0,,
28266993.0,28266988.0,29154643.0,51825127.0,17205111.0,18059427.0,11597578.0,34147634.0,ACHC,4125188.0,8614480.0,0.0,355145.0,18830559.0,22506807.0
0.0,395067.0,0.0,378255.0,0.0,16623.0,0.0,29546.0,ACHL,0.0,338193.0,0.0,349587.0,0.0,187797.0
0.0,5000220.0,0.0,70000.0,,,0.0,46000.0,ACII,,,0.0,301024000.0,,
5002949.0,5007575.0,,,0.0,219060.0,0.0,300462.0,ACKIT,0.0,13248.0,0.0,121847293.0,0.0,220573.0
5002949.0,5007575.0,,,0.0,219060.0,0.0,300462.0,ACKIU,0.0,13248.0,0.0,121847293.0,0.0,220573.0
5002949.0,5007575.0,,,0.0,219060.0,0.0,300462.0,ACKIW,0.0,13248.0,0.0,121847293.0,0.0,220573.0
0.0,32440640.0,0.0,2856976.0,0.0,8375359.0,,,ACON,0.0,452530.0,,,0.0,732204.0
0.0,32440640.0,0.0,2856976.0,0.0,8375359.0,,,ACONW,0.0,452530.0,,,0.0,732204.0
0.0,23749.0,0.0,436009070.0,0.0,115427.0,0.0,15225000.0,ACQRU,,,,,0.0,13162.0
4974969.0,4999571.0,751814.0,834714.0,,,751814.0,809714.0,ACRO,0.0,25000.0,0.0,300625000.0,,
