additional_paid_in_capital_trend,additional_paid_in_capital_recent,total_assets_trend,total_assets_recent,total_current_liabilities_trend,total_current_liabilities_recent,total_liabilities_trend,total_liabilities_recent,symbol,cash_trend,cash_recent,total_capitalization_trend,total_capitalization_recent,total_current_assets_trend,total_current_assets_recent,technology,software,ai,machine learning,cloud,saas,platform,digital,data,analytics,algorithm,automation,blockchain,cryptocurrency,cybersecurity,subscription,recurring,e-commerce,mobile,app,virtual,healthcare,biotech,pharmaceutical,medical,clinical,energy,renewable,solar,electric,battery,real estate,logistics,transportation,automotive,citigroup,citi,morgan stanley,ubs,barclays,volume,day,close,diff,price_public_total,public_price_per_share_x,raymond james,piper jaffray,wells fargo,merrill lynch,rbc capital,morgan stanley.1,merrill lynch.1,eli lilly,credit suisse,stifel,jefferies,hill road,robert w. baird,william blair,goldman sachs,deutsche bank,davis polk,william blair.1,goldman sachs.1,public_price_per_share_y,url,ipo_date,document_length
0.0,22499.0,0.0,523475.0,0.0,512320.0,0.0,512320.0,AAC,,,,,,,5,2,0,0,1,0,19,3,42,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,4,0,18,0,0,1,0,7,0,0,1,1.0,1.0,1.0,1.0,1.0,152320,2014-10-02 20:00:00.000 -0400,18.75,0.55,870000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1829432/000119312521027346/d61603d424b4.htm,2014-10-02,1400564
4977413.0,5001957.0,103376.0,135313.0,105361.0,112752.0,0.0,112752.0,AACI,60673.0,62610.0,0.0,151128977.0,,,26,5,0,0,3,0,4,14,11,0,0,0,4,0,0,4,6,3,26,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,,,,1.0,,373250,2021-11-09 19:00:00.000 -0500,9.75,-0.02,150000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1844817/000095015921000254/armada424b4.htm,2021-11-09,1101155
4977413.0,5001957.0,103376.0,135313.0,105361.0,112752.0,0.0,112752.0,AACIW,60673.0,62610.0,0.0,151128977.0,,,26,5,0,0,3,0,4,14,11,0,0,0,4,0,0,4,6,3,26,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,,,,1.0,,441200,2021-11-10 19:00:00.000 -0500,0.5,0.0,150000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1844817/000095015921000254/armada424b4.htm,2021-11-10,1101155
137777.0,142245.0,37028.0,102776.0,3795.0,29372.0,6716.0,41456.0,AAOI,0.0,10723.0,0.0,77942.0,4130.0,43376.0,71,4,0,0,4,0,1,14,144,0,0,1,0,0,0,1,15,0,0,0,1,0,0,0,0,0,2,2,0,1,1,7,0,2,0,,1.0,,1.0,,252429,2013-09-26 20:00:00.000 -0400,10.01,0.05,36000000.0,24.25,8.0,6.0,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1158114/000104746913009310/a2216811z424b4.htm,2013-09-26,2325972
0.0,4999830.0,0.0,30000.0,0.0,6000.0,0.0,14000000.0,AAQC,,,0.0,401024000.0,,,33,9,12,0,2,0,8,4,10,3,0,9,0,0,5,2,2,2,0,0,0,0,0,0,3,0,6,0,0,17,2,1,0,29,8,,,,1.0,,2450,2021-05-10 20:00:00.000 -0400,9.75,-0.0714,400000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1838883/000121390021016395/f424b40321_accelerateacq.htm,2021-05-10,3297190
0.0,563186.0,1562100.0,1562101.0,-118.0,2481.0,0.0,949834.0,AAT,6197.0,18419.0,0.0,1498639.0,823.0,5978.0,7,4,0,0,0,0,2,3,44,0,0,0,0,0,0,1,62,0,0,0,0,4,0,0,7,0,2,0,0,1,0,399,0,4,0,,,16.0,1.0,,1297620,2011-01-13 19:00:00.000 -0500,21.31,-0.14,563750016.0,20.5,,5.0,19.0,16.0,1.0,1.0,1.0,,,,,,,,,,,,,20.5,https://www.sec.gov/Archives/edgar/data/1500217/000119312511007696/d424b4.htm,2011-01-13,7314950
816738.0,2300178.0,120893163.0,142385338.0,13670821.0,20104202.0,43264317.0,53147289.0,ABCL,-1295.0,1105.0,0.0,630574.0,98837274.0,113999508.0,265,41,30,7,1,0,175,0,213,0,0,7,0,0,1,4,12,0,0,0,0,5,11,31,9,113,0,0,0,0,0,1,1,1,0,,,,1.0,,3541,2020-12-11 19:00:00.000 -0500,58.85,-0.05,483000000.0,20.0,,,,,,,,16.0,1.0,1.0,,,,,,,,,,20.0,https://www.sec.gov/Archives/edgar/data/1703057/000119312520316986/d29983d424b4.htm,2020-12-11,2856914
0.0,24623.0,0.0,302178.0,0.0,302000.0,0.0,302000.0,ABGI,0.0,58175.0,,,0.0,58353.0,10,0,0,0,2,0,2,5,46,0,0,0,0,0,0,4,0,0,0,0,0,44,7,0,16,8,0,0,0,0,0,4,0,0,0,,,3.0,1.0,,647051,2021-02-17 19:00:00.000 -0500,10.33,-0.01,131000000.0,10.0,,,,,,,,,,,1.0,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1833764/000119312521047883/d18998d424b4.htm,2021-02-17,1148704
8262246.0,8521712.0,3898380.0,10511469.0,2182040.0,5918050.0,4508360.0,8407255.0,ABNB,456547.0,2664390.0,0.0,5460946.0,1337676.0,7212208.0,91,47,0,4,6,0,468,15,238,4,1,1,1,0,3,11,11,10,36,11,1,2,0,0,4,0,3,2,1,0,0,9,1,3,0,,1.0,18.0,1.0,,26912701,2020-12-10 19:00:00.000 -0500,137.62,-7.36,88092104.0,68.0,,,,,,1.0,,,,,,2.0,1.0,2.0,1.0,,,,,68.0,https://www.sec.gov/Archives/edgar/data/1559720/000119312520315318/d81668d424b4.htm,2020-12-10,5041325
0.0,8500.0,0.0,217673.0,,,0.0,31182.0,ABOS,0.0,216707.0,,,0.0,44429.0,31,0,0,0,0,0,2,0,162,0,0,0,0,0,1,4,4,0,0,13,0,58,0,43,40,478,0,0,0,0,0,1,0,0,0,,1.0,,1.0,,401014,2021-07-01 20:00:00.000 -0400,20.82,0.32,159999984.0,16.0,,,,,,,,12.0,1.0,1.0,,,,,,,,,,16.0,https://www.sec.gov/Archives/edgar/data/1576885/000119312521207605/d104413d424b4.htm,2021-07-01,1925787
